Country,Total Confirmed Cases/Population,Recovered/Population,Total Deaths/Population,total_tests/Population,Population Density (Square KM),No. of Doctors per thousands,Per capita CO₂ emissions (tonnes per capita),Average precipitation in depth (mm per year) (mm per year),Population ,HDI INDEX,LITERACY RATE,LIFE EXPENTANCY,total expendature on ealth (% of GDP),Median Age,GDP per capita (int.-$) ($),"Age dependency ratio, old (% of working-age population) (% of working-age population)",Unemployment Rate,"Population, female (% of total) (% of total)","Alcohol consumption (litres per capita) (liters of pure alcohol, projected estimates, 15+ years of age)",Urban population/Population,Urban population,Rural population/Population,Rural population,Animal protein (kilocalories per person per day),Plant protein (kilocalories per person per day),Fat (kilocalories per person per day),Carbohydrates (kilocalories per person per day),"DALYs (Disability-Adjusted Life Years) - All causes - Sex: Both - Age: Age-standardized (Rate) (DALYs per 100,000)",Healthcare Expenditure per capita (int.-$) (constant 2011 international $),World Happiness Report 2016 (Cantril Ladder (0=worst; 10=best)),Poor sanitation (deaths),No access to handwashing facility (deaths),Indoor air pollution (deaths),Secondhand smoke (deaths),High blood sugar (deaths),Obesity (deaths),High blood pressure (deaths),Smoking (deaths),Iron deficiency (deaths),Zinc deficiency (deaths),Vitamin-A deficiency (deaths),Air pollution (outdoor & indoor) (deaths),handwashing_facilities,hospital_beds_per_100k,Testing policy (OxBSG),aged_65_older,aged_70_older,extreme_poverty,cvd_death_rate,diabetes_prevalence,Smoker
Cameroon,0.08,0.078,0.002,0.561,50.88,0.14,0.32,1604,26546000,0.56,75.99,59.29,4.3,18.8,2803,5.85,4.24,49.95,8.9,50.54,13416447,40.07,10637280,46.8,233.04,513.72,1877.44,52120.33,25876000,5.25,7646.25,7701.19,6716.62,1467.82,11293.72,9643.63,14863.56,5243.71,759.62,276.76,2757.26,13301.43,2.74,1.3,1,3.17,1.92,23.8,244.66,7.2,0
Canada,0.465,0.44,0.025,21.13,4.04,2.5,15.64,537,37742000,0.93,75.99,82.43,10.65,41.4,42969,25.35,6.34,50.38,8.9,79.12,29862026,18.14,6846057,218.8,201,1323.45,1750.75,19226.77,37411000,7.18,61.04,91.84,18.19,3141.59,36530.46,32831.04,42419.43,49362.38,3.76,0.91,3.68,7835.32,0,2.5,3,16.98,10.8,0.5,105.6,7.37,28.6
Central African Republic,0.1,0.099,0.001,0.675,7.48,2.5,0.07,1343,4830000,0.37,37.75,53.28,4.4,18.3,619,6.88,5.95,50.68,3.3,39.53,1909291,56.93,2749789,68.52,115.72,535.86,1158.9,96470.91,4745000,7.18,3944.76,3249.22,3645.28,575.05,4579.11,1378.27,4908.97,2509.36,239.29,239.44,1782.92,4711.48,16.6,1,1,3.66,2.25,0,435.73,6.1,0
Chad,0.008,0.007,0.001,0.012,11.83,2.5,0.05,322,16426000,0.4,41.02,54.24,3.82,16.7,2192,4.93,5.89,49.94,1.5,20.73,3405841,69.98,11494153,38.8,212.08,423.81,1435.31,63126.54,15947000,4.49,16517.25,13485.45,11550.57,809.41,5580.89,2029.76,7721.6,1657.96,1088.69,1070.35,7770.26,14329.2,5.82,0,1,2.49,1.45,38.4,281,6.1,0
Chile,2.49,2.421,0.069,18.737,24.28,2.5,4.69,1522,19116000,0.84,97.63,80.18,7.99,35.4,21446,16.16,6.96,50.46,9.3,82.63,15796080,11.82,2258646,181.08,168.36,804.24,1825.32,21615.71,18952000,6.44,57.35,86.69,685.01,1887.18,16146.8,13848.4,21283.09,10405.16,9.54,0.54,3.65,5665.9,0,2.11,2,11.09,6.94,1.3,127.99,8.46,75.7
China,0.006,0.006,0,11.116,147.67,1.72,6.98,645,1439324000,0.75,97.36,76.91,5.75,38.7,12320,14.85,4.68,48.47,7.2,55.83,803554542,40.49,582840458,158.56,233.6,862.83,1853.01,22086.06,1433784064,5.13,2405.46,5348.4,271089.35,386641.41,891047.24,823869.26,2542365.12,2197652.61,325.33,147.47,1690.18,1242986.55,0,4.34,3,10.64,5.93,0.7,261.9,9.74,50.3
Colombia,1.742,1.688,0.054,7.955,44.22,1.82,1.66,3240,50883000,0.75,95.58,77.29,7.4,32.2,12963,11.1,8.85,50.8,5.8,77.57,39471325,18.86,9594290,133.92,123.6,739.35,1807.13,21427.33,50339000,5.98,116.57,382.4,2382.97,3637.83,20405.13,24986.07,44361.07,19433.68,51.52,19.06,71.71,11962.66,65.39,1.71,2,7.65,4.31,4.5,124.24,7.44,18.2
Costa Rica,1.665,1.645,0.02,4.933,96.08,1.82,1.77,2926,5094000,0.79,98.65,80.28,9.51,33.6,13986,13.74,8.14,49.99,4.8,75.66,3853972,20.65,1051797,163.92,136.36,814.14,1733.58,20790.95,5048000,7.14,4.24,39.81,178.82,290.57,2168.65,2824.65,4880.46,2203.8,4.1,0.48,1.96,1042.09,83.84,1.13,1,9.47,5.69,1.3,137.97,8.78,23.8
Cote d'Ivoire,0.076,0.075,0,0.114,76.4,1.82,0.48,1348,26378000,0.49,44.27,57.78,5.92,18.7,3664,5.37,2.6,49.34,8.4,46.35,12226576,45.75,12068174,54.68,179.36,533.97,2030.99,54257.12,25717000,5.27,6735.51,7127.22,10917.42,2812.05,10809.45,7189.31,17079.75,6312.14,948.48,337.29,2803.64,13404.03,19.35,0,2,2.93,1.58,28.2,303.74,2.42,0
Croatia,0.463,0.455,0.008,8.501,73.73,3.13,4.1,1113,4105000,0.83,100.27,78.49,8,44,21625,30.07,11.21,51.8,8.9,56.95,2337910,43.55,1787790,191.92,145.48,1066.05,1655.55,21599.11,4130000,5.54,1.54,3.99,429.83,1466.97,9614,7107.91,14095.98,9340.34,0.26,0.07,0.61,3089.39,0,5.54,2,19.72,13.05,0.7,253.78,5.59,74.2
Cuba,0.052,0.051,0.001,5.922,110.41,7.52,3.18,1335,11327000,0.78,100.71,78.8,11.26,43.1,21625,21.29,2.53,49.98,6.1,78.05,8840528,23.34,2644108,127.08,236.36,619.2,2426.36,21017.6,11333000,5.54,79.42,249.84,331.49,1842.24,11139.17,11028.71,19038.48,18457.32,12.61,0.91,1.27,6236.01,85.2,5.2,1,14.74,9.72,0,190.97,8.27,70.4
Cyprus,0.159,0.157,0.002,33.416,127.66,2.5,6.37,498,1207000,0.87,100.06,80.98,7.57,37.3,26540,19.23,11.04,49.94,10.8,65.32,788365,32.41,391186,180.2,130.24,1032.57,1305.99,18287.11,1199000,6.28,0.57,1.66,3.65,154.94,1566.37,832.41,1617.13,1492.22,0.18,0.01,0.05,499.23,0,3.4,3,13.42,8.56,0,141.17,9.24,72.3
Denmark,0.538,0.526,0.011,73.79,136.52,3.66,6.03,703,5792000,0.93,78.22,80.9,11,42.3,45141,30.82,5.74,50.26,10.4,87.42,5063231,12.2,706372,279.28,156.24,1210.86,1720.62,19430.93,5772000,7.65,4.72,22.17,12.75,582.35,8476.87,4128.48,8207.9,11700.02,0.4,0.11,0.57,2366.01,0,2.5,2,19.68,12.33,0.2,114.77,6.41,38.1
Djibouti,0.549,0.543,0.006,8.022,41.28,0.23,0.85,220,988000,0.48,78.22,67.11,10.77,25.4,3394,6.51,5.81,49.82,0.5,75.21,743080,21.65,213905,60.36,203.08,541.17,1802.39,39318.84,974000,7.65,150,172.4,162.28,86.18,626.75,369.84,744.49,343.12,30.67,6.93,22.26,404.36,0,1.4,3,4.21,2.38,22.5,258.04,6.05,26.2
Dominican Republic,1.077,1.057,0.02,4.668,222.87,0.23,1.98,1410,10848000,0.74,93.47,74.08,4.58,27.6,14088,10.95,5.49,50.21,6.9,79.68,8643423,19.58,2123575,105.6,127.2,803.34,1577.86,30965.8,10739000,5.43,124.64,395.48,1023.71,950.42,9927.6,9081.96,13710.99,7726.07,63.19,9.36,42.12,3363.7,55.18,1.6,2,6.98,4.42,1.6,266.65,8.2,27.6
Ecuador,0.822,0.753,0.069,2.592,66.94,0.23,2.33,2274,17643000,0.75,95.52,77.01,9.36,28.1,10536,11.02,3.84,50.02,4.4,60,10585047,34.23,6039811,146.12,99.32,852.48,1246.08,25477.07,17374000,6.13,76.7,281.99,441.67,724.41,13501.11,11277.03,13217.02,4721.52,39.63,26.8,68.53,3851.07,80.64,1.5,1,7.1,4.46,3.6,140.45,5.55,14.3
Egypt,0.102,0.096,0.006,0.132,98,0.81,2.24,51,102334000,0.7,76.84,71.99,5.84,25.3,11430,8.41,12.08,49.44,0.4,40.71,41660073,54.62,55893078,105.36,307.6,568.17,2540.87,35255.07,100388000,4.01,2534.96,1354.81,386.91,15891.71,102942.08,102516,145833.29,69344.15,321.29,168.93,1196.9,60543.5,89.83,1.6,1,5.16,2.89,1.3,525.43,17.31,50.3
El Salvador,0.46,0.447,0.014,6.443,307.81,0.81,1.1,1784,6486000,0.67,88.65,73.32,6.97,27.6,8335,12.86,4.49,53.04,3.7,70.09,4545815,28.25,1832038,101,186.6,560.34,1729.06,29122.39,6454000,6.28,142.15,165.03,933.16,565.56,7504.28,5428.8,7608.06,2218.9,5.58,1.1,22.33,2654.02,90.65,1.3,3,8.27,5.42,2.2,167.3,8.87,21.3
Equatorial Guinea,0.361,0.355,0.006,4.441,45.19,0.81,5.3,2156,1403000,0.59,96.2,58.74,4,22.4,31486,4.75,6.91,44.64,11.3,64.74,908248,25.62,359441,101,186.6,560.34,1729.06,46657.39,1356000,6.28,76.64,129.25,165.76,32.04,523.64,331.08,523.22,163.18,18.62,2.59,45.85,334.66,24.64,2.1,1,2.85,1.75,0,202.81,7.78,0
Estonia,0.283,0.278,0.005,17.302,31.03,3.32,15.13,626,1327000,0.87,100.82,78.75,6.58,42.7,26173,30.31,5.76,53.15,11.6,68.12,903958,31.01,411522,212.96,202.64,816.39,2021.01,23217.91,1326000,6.09,0.33,2.35,115.26,224.34,2555.79,2715.79,5379.59,2160.76,0.06,0.06,0.02,452.42,0,4.69,2,19.45,13.49,0.5,255.57,4.02,63.8
Ethiopia,0.071,0.07,0.001,1.155,104.96,3.32,0.13,848,114964000,0.46,50.03,66.6,5.08,19.8,1659,6.31,5.2,50.07,2.8,18.54,21316856,72.75,83640582,30.76,210.84,233.37,1656.03,40653.53,112079000,4.38,38734.89,33326.93,32771.23,3154.74,31268.61,10812.84,34120.5,9462.56,1984.34,1087.89,15895.88,40613.53,7.96,0.3,1,3.53,2.06,26.7,182.63,7.47,8.9
Finland,0.205,0.199,0.006,20.93,18.14,3.2,8.32,536,5541000,0.92,50.03,81.91,9.88,42.8,38335,34.04,8.64,50.72,10.7,84.87,4702519,14.6,808784,292.12,178.76,1262.34,1634.78,19522.24,5532000,7.86,0.87,5.34,17.74,325.4,8900.77,6021.79,12136.3,5638.94,0.36,0.03,0.12,1126.93,0,3.28,1,21.23,13.26,0,153.51,5.76,40.9
France,1.029,0.979,0.05,18.231,122.58,3.22,5.48,867,65274000,0.9,50.03,82.66,11.74,42,38758,31.7,9.4,50.83,12.6,82.45,53815732,20.38,13302916,277.4,164.68,1432.8,1607.12,17833.05,65130000,6.67,28.99,156.93,145.11,3616.95,65806.68,45053.73,79549.83,79002.38,6.57,1.68,0.56,18991.52,0,5.98,1,19.72,13.08,0,86.06,4.77,65.7
Gabon,0.396,0.394,0.002,8.631,7.86,0.41,2.73,1831,2226000,0.7,84.24,66.47,3.64,23.1,14334,7.46,19.66,48.63,11.5,80.95,1801886,10.03,223251,172.12,174.4,536.13,1947.35,42486.41,2173000,4.78,176.2,224.67,100.54,161.95,1523.48,925.37,1585.77,645.25,32.02,3.22,39.77,674.36,0,6.3,3,4.45,2.98,3.4,259.97,7.2,0
Georgia,0.256,0.255,0.002,17.719,65.03,4.78,2.8,1026,3989000,0.78,100.76,73.77,7.62,38.7,10483,22.54,11.6,52.25,9.8,54.26,2164505,38.92,1552595,115.28,206.84,581.31,2001.57,29519.9,3997000,4.66,8.14,16.3,1898.07,1674.25,11936.31,8434.54,19388.66,6798.58,4,0.87,2.23,4208.06,0,2.6,2,14.86,10.24,4.2,496.22,7.11,60.8
Germany,0.376,0.364,0.011,21.639,237.02,4.13,9.73,700,83784000,0.94,100.76,81.33,11.5,46.6,46841,32.77,3.75,50.76,13.4,76.26,63890984,22.44,18804016,245.92,160.44,1276.83,1815.81,19580.1,83517000,7.12,88.08,249.28,599.19,8161.02,155360.02,103098.56,204630.23,141530.76,7.94,0.92,1.07,41838.77,0,8,1,21.45,15.96,0,156.14,8.31,61.3
Ghana,0.151,0.15,0.001,1.595,126.72,4.13,0.58,1187,31073000,0.59,77.58,64.07,3.76,21.1,3753,5.83,2.36,50.17,2.7,51.41,15975849,41.38,12857780,68.88,189.4,413.64,2344.08,45910.46,30418000,7.12,4344.98,5685.7,9780.68,1680.17,17736.49,12387.26,23548.35,5839.36,363.25,118.77,1399.76,15080.08,41.05,0.9,3,3.39,1.95,12,298.25,4.97,8
Greece,0.205,0.201,0.004,13.338,83.48,6.26,6.81,652,10423000,0.87,96.29,82.24,8.28,45.3,24689,31.19,21.49,50.78,10.4,81.27,8471034,21.96,2289387,236.96,198.24,1319.94,1644.86,19396.77,10473000,5.41,1.36,25.74,78.07,2692.01,19419.93,12381.19,25439.95,24401.28,1.61,0.32,1,6943.89,0,4.21,2,20.4,14.52,1.5,175.7,4.55,87.3
Guatemala,0.539,0.52,0.019,1.971,157.83,6.26,1.23,1996,17916000,0.65,80.07,74.3,6.4,22.9,7137,7.79,2.73,50.78,2.4,47.84,8571763,46.56,8341740,71.32,183.6,501.57,1662.51,32309.45,17581000,6.63,1320.83,1200.07,4559.08,934.95,14293.52,7355.5,10405.19,3768.88,81.49,81.18,361.21,7184.91,76.67,0.6,2,4.69,3.02,8.7,155.9,10.18,0
Guinea,0.083,0.082,0.001,0.256,51.75,0.08,0.23,1651,13133000,0.46,31.47,61.6,5.84,19,1668,5.74,4.49,49.86,1.3,34.66,4551859,62.17,8165317,39.76,183.96,557.91,1784.37,59374.29,12771000,5.25,3317.61,4101.47,9235.51,1077.22,6744.35,3404.71,9574.88,2275.05,684.75,190.49,1498.89,10514.31,17.45,0.3,1,3.14,1.73,35.3,336.72,2.42,0
Guinea-Bissau,0.12,0.118,0.002,0.152,66.19,0.08,0.18,1577,1968000,0.46,60.77,58.32,5.79,19.4,1354,5.41,6.1,50.8,4.8,40.62,799328,53.96,1061955,35.56,140.6,571.5,1544.34,61936.52,1921000,5.25,841.51,750.52,1005.61,163.57,1017.44,516.44,1496.15,318.87,47.23,25.91,442.22,1181.16,6.4,0,1,3,1.57,67.1,382.47,2.42,0
Guyana,0.423,0.411,0.012,1.963,3.95,0.9,2.67,2387,787000,0.65,88.54,69.91,5.45,26.3,1354,8.08,12.04,49.52,6.3,26.23,206428,72.61,571431,144.28,173.76,536.85,1909.11,37282.71,783000,5.25,15.94,38.3,86.83,87.63,1220.06,827.72,1235.55,412.06,5.54,0.44,3.31,360.54,77.16,1.6,1,5.31,2.84,0,373.16,11.62,0
Haiti,0.078,0.076,0.002,0.255,398.45,0.9,0.27,1440,11403000,0.5,61.69,64,7.76,24.3,1636,7.71,13.99,50.55,5.8,52.34,5967859,43.97,5013370,40.6,150.28,440.55,1459.57,49023.73,11263000,3.61,2306.54,2230.96,6786.31,828.58,12659.7,6036.08,13522.38,4007.01,359.72,171.75,902.53,7853.99,22.86,0.7,1,4.8,2.95,23.5,430.55,6.65,26
Honduras,0.825,0.8,0.025,1.944,82.81,0.9,1.15,1976,9905000,0.62,89.42,75.27,8.92,24.9,4435,7.3,4.49,50.14,4,52.81,5230779,40.73,4034288,92.8,166.72,656.55,1724.93,28522.4,9746000,5.91,515.41,205.52,1974.23,770.43,4893.55,4497.03,7606.05,3974.18,46.93,5.12,43.21,2920.91,84.17,0.7,1,4.65,2.88,16,240.21,7.21,2
Hungary,0.365,0.355,0.009,8.319,108.04,3.32,5.18,589,9660000,0.84,100.38,76.88,7.6,43.4,24047,27.68,4.16,52.43,11.4,71.95,6950664,29.3,2830463,168.4,147,1238.85,1482.75,24252.44,9685000,5.91,27.64,11.37,1607.06,2371.55,21433.83,18739.69,39078.88,24006.58,1.44,0.29,1.95,7771.24,0,7.02,1,18.58,11.98,0.5,278.3,7.55,61.6
Iceland,0.958,0.955,0.003,88.688,3.4,3.65,10.39,1940,341000,0.94,100.38,82.99,9.06,37.3,42980,22.04,2.75,49.83,9.1,93.85,320032,6.23,21252,385.92,148.24,1359,1486.84,17664.75,339000,5.91,0.09,0.69,0.81,22.69,330.45,228.3,374.03,322.96,0.01,0.02,0.04,58.84,0,2.91,1,14.43,9.21,0.2,117.99,5.31,29.5
India,0.5,0.493,0.008,6.133,450.42,0.73,1.84,1083,1380004000,0.64,73.23,69.66,4.89,28.2,5961,9.04,3.52,48.18,5.7,32.61,449964523,64.44,889215604,47.96,193.04,470.25,1747.75,39559.7,1366418048,3.82,328719.97,257783.86,481737.84,225812.84,1003224.99,532151.02,1544920.2,894371.52,15245.43,4313.62,54836.04,1240528.7,59.55,0.53,3,5.99,3.41,21.2,282.28,10.39,22.5
Indonesia,0.117,0.113,0.004,1.347,145.73,0.73,1.84,2702,273524000,0.69,96.44,71.72,3.05,29.3,10511,7.9,4.18,49.66,0.8,52.75,144295048,43.76,119696331,70.84,177.88,519.3,2008.98,32671.56,270625984,5.34,21593.45,14940.85,68117.24,45314.64,333489.53,139963.08,427217.72,227477.42,1601.9,286.12,6163.27,123752.82,64.2,1.04,1,5.32,3.05,5.7,342.86,6.32,78.9
Iran,0.581,0.548,0.033,5.069,49.83,1.49,8.28,228,83993000,0.8,88.17,76.68,7.09,32.4,15529,7.68,12.52,49.71,1,71.89,60380245,24.74,20782543,88.88,260.24,677.61,2067.27,26346.12,82914000,4.28,129.08,337.78,172.44,9103.83,71193.65,53085.66,96839.3,38921,65.71,13.11,46.01,29098.2,0,1.5,0,5.44,3.18,0.2,270.31,9.59,21.9
Iraq,0.981,0.957,0.024,6.108,88.13,0.85,5.08,216,40223000,0.69,80.72,70.6,5.74,20,13976,5.65,8.16,49.38,0.4,66.87,26898636,28.28,11375982,52.72,201.8,577.62,1712.86,30139.27,39310000,4.28,208.37,118.46,45.53,3102.62,21105.72,18241.98,29013.8,11420.09,69.76,58.55,312.17,9427.17,94.58,1.4,2,3.19,1.96,2.5,218.61,8.83,0
Ireland,0.812,0.775,0.037,26.07,69.87,2.78,8.35,1118,4938000,0.94,80.72,82.31,7.98,38.7,55653,21.61,6.4,50.4,13,61.36,3030022,36.12,1783586,259.28,180.8,1132.56,2027.36,18623.25,4882000,6.96,1.59,8.92,17.48,400.18,4655.28,2807.65,5797.07,5694.1,0.5,0.08,0.4,1111.47,0,2.96,1,13.93,8.68,0.2,126.46,3.28,48.7
Israel,3.309,3.287,0.022,45.3,402.61,3.62,8,435,8656000,0.9,80.72,82.97,8.01,30.6,32494,19.42,4.22,50.33,3.8,92.94,8044682,7.71,667718,289.88,222.68,1364.22,1733.22,17481.91,8519000,6.93,10.36,21.23,20.51,503.77,8907.74,4580.67,7409.37,6092.15,2,0.44,2.34,2596.51,0,2.99,1,11.73,7.36,0.5,93.32,6.74,50.8
Italy,0.56,0.5,0.06,20.174,205.86,3.95,5.99,832,60462000,0.88,100.02,83.51,9.45,47.9,34989,36.28,11.21,51.26,7.5,70.25,42473185,29.9,18078231,232.96,201.08,1392.66,1752.3,17021.83,60550000,6.52,26.27,109.07,347.42,7436.23,104404.69,63364.94,119779.67,84848.16,3.26,0.73,6.8,29368.18,0,3.18,2,23.02,16.24,2,113.15,4.78,47.6
Jamaica,0.246,0.241,0.004,2.802,266.88,0.39,2.69,2051,2961000,0.73,89.5,74.48,5.56,31.4,7175,14.33,12.45,50.24,4.2,54.06,1600590,43.56,1289709,148.44,159.44,705.78,1732.34,28122.29,2948000,6.52,13.36,47.25,269.79,312.9,5284.42,3060.8,3877.46,2157.55,6.83,0.43,1.39,1231.62,66.43,1.7,1,9.68,6.39,0,206.54,11.28,33.9
Japan,0.069,0.068,0.001,1.772,347.78,2.37,9.45,1668,126476000,0.91,89.5,84.63,10.43,48.2,36452,45.03,2.83,51.17,8,91.76,116053379,8.49,10732418,193.84,157.08,779.4,1595.68,16214.11,126860000,5.79,103.85,1368.37,117.4,17858.08,114239.69,57112.7,197006.3,200015.96,9.61,3.6,5.29,49553.62,0,13.05,1,27.05,18.49,0,79.37,5.72,44.9
Jordan,0.211,0.209,0.001,13.442,109.29,2.65,2.2,111,10203000,0.74,99.01,74.53,7.65,23.2,11748,6.28,14.92,49.36,0.7,86.29,8804594,8.8,897759,108.72,209.64,900.81,1880.83,23676.32,10102000,4.64,6.53,40.2,0.95,720.16,5201.36,5265.71,6107.13,3337.48,12.82,3.84,31.53,1949.09,0,1.4,2,3.81,2.36,0.1,208.26,11.75,0
Kazakhstan,0.761,0.75,0.011,16.219,6.68,3.27,16.07,250,18777000,0.8,100.79,73.6,4.56,30.6,23399,10.74,4.9,51.57,7.7,55.08,10342065,40.98,7695581,228.24,157.4,1210.68,1667.68,31859.54,18551000,6.01,38.96,78.01,2001.41,3541.87,20919.23,22276.1,36869.89,20075.43,14.3,10.18,45.54,7996.2,99,6.7,3,6.99,4.63,0.1,466.79,7.11,50.1
Kenya,0.075,0.073,0.001,1.069,87.32,0.2,0.32,630,53771000,0.59,79.02,66.7,5.92,20,3214,4.73,11.47,50.3,3.4,24.55,13201277,67.88,36498585,63.6,183.76,431.82,1526.82,45177.7,52574000,4.66,12869.23,12624.86,14000.27,1996.78,20047.13,10046.42,24324.46,9780.15,879.78,297.4,4121.24,18890.77,24.65,1.4,1,2.69,1.53,36.8,218.64,2.92,21.6
Kuwait,2.562,2.547,0.015,18.186,232.13,2.61,25.24,121,4271000,0.8,97.12,75.49,3.24,33.7,67798,3.06,2.14,42.58,0,96.85,4136528,0,0,214.32,218.64,1052.82,2015.22,18712.63,4207000,4.66,0.47,14,1.14,249.48,1204.99,1658.99,1847.04,1074.33,1.37,0.41,1,831.53,0,2,2,2.35,1.11,0,132.24,15.84,39.7
Kyrgyzstan,0.745,0.729,0.017,4.239,32.33,1.85,1.73,533,6524000,0.67,100.5,71.45,6.68,26.3,6065,7.05,7.28,50.41,6.2,34.35,2240912,60.71,3960588,140.16,200.48,610.47,1865.89,30701.83,6416000,5.3,84.23,35.68,1225.27,883.8,5307.63,3963.39,8716.36,3800.93,17.95,9.03,40.56,2813.06,89.22,4.5,1,4.49,2.88,1.4,436.36,7.11,54.1
Latvia,0.126,0.124,0.002,18.759,31.21,3.22,3.68,641,1886000,0.85,100.89,75.29,6.08,43.9,23362,30.47,8.71,54.07,12.9,70.05,1321159,32.85,619581,203.88,161.68,1075.23,1733.21,27056.61,1907000,5.9,0.99,4.5,177.18,552.99,4780.21,4485.94,9300.1,4123.17,0.35,0.05,0.04,1457.92,0,5.57,1,19.75,14.14,0.7,350.06,4.91,76.6
Lebanon,0.729,0.722,0.006,13.796,594.56,2.38,3.21,661,6825000,0.76,95.05,78.93,6.59,31.1,12683,12.45,6.64,49.84,1.5,78.81,5378567,10.31,703790,117.28,201.56,920.79,1826.37,24477.9,6856000,5.17,3.93,33.34,0.59,1049.97,7397.58,6599.65,8072.7,6405.71,6.77,0.64,7.27,2761.54,0,2.9,1,8.51,5.43,0,266.59,12.71,67.6
Liberia,0.027,0.025,0.002,0.597,49.13,2.38,0.23,2391,5058000,0.44,48.6,64.1,10.24,19.2,764,5.54,2.39,49.55,5.8,47.43,2398934,46.12,2332972,32.56,118.08,538.74,1514.62,51219.83,4937000,4.13,1533.16,1489.62,2121.61,289.41,2122.12,1426.66,3010.03,927.96,257.81,103.65,611.93,2328.97,1.19,0.8,1,3.06,1.76,38.6,272.51,2.42,19.6
Lithuania,0.207,0.203,0.004,30.517,45.14,4.33,4.63,656,2722000,0.86,100.82,75.93,6.75,43.5,26182,28.72,7.07,53.93,15,70.14,1909164,33.75,918557,305.96,192,851.22,2067.82,27524.59,2760000,6.31,2.51,8.33,60.42,640.33,5747.42,5983.95,14129.81,5641.8,0.35,0.13,0.07,2054.47,0,6.56,1,19,13.78,0.7,342.99,3.67,59.3
Luxembourg,1.473,1.452,0.021,140.006,231.45,2.86,15.93,934,626000,0.9,100.82,82.25,7.14,39.7,69057,20.67,5.52,49.74,13,86.88,543862,8.88,55587,288.48,167.04,1276.47,1807.01,19136.04,616000,7.24,0.23,1.24,1.35,53.39,663.87,435.18,779.87,670.86,0.08,0.01,0.06,167.59,0,4.51,1,14.31,9.84,0.2,128.28,4.42,46.9
Madagascar,0.06,0.059,0.001,0.268,43.95,2.86,0.12,1513,27691000,0.52,65.66,67.04,3.24,19.6,1307,5.22,1.8,50.13,1.9,33.73,9339002,58.62,16231893,40.08,146.6,220.41,1644.91,51989.76,26969000,4.07,15674.02,13184.46,16691.15,2329.66,11664.42,6025.65,21904.09,5820.85,747.32,542,5401.48,18721.67,50.54,0.2,1,2.93,1.69,77.6,405.99,3.94,0
Malaysia,0.044,0.044,0,5.029,96.25,1.53,8.05,2875,32366000,0.8,95.64,76.16,4.37,29.9,22687,9.07,3.41,48.38,0.9,73.72,23859558,23.99,7764706,181.6,144.72,807.66,1782.02,25491.77,31950000,5.34,40.89,343.09,486.96,5436.2,19366.02,18260.71,38193.15,23650.09,51.01,1.75,8.22,11352.33,0,1.9,3,6.29,3.41,0.1,260.94,16.74,43.4
Maldives,1.986,1.979,0.006,27.864,1454.43,2.15,3.6,1972,541000,0.72,100.32,78.92,13.93,30.6,22687,5.68,4.99,43.14,2.7,31.76,171827,48.89,264503,343.84,145.88,568.08,1674.2,18422.91,531000,5.34,0.89,1.82,15.54,40.09,205.98,99.39,280.94,170.49,1.44,0.06,0.28,55.57,95.8,0,1,4.12,2.88,0,164.91,9.19,57.1
Mali,0.016,0.015,0.001,0.29,15.2,2.15,0.09,282,20251000,0.43,34.07,59.31,7.06,16.4,1604,5.06,7.91,49.96,1.3,38.06,7708272,53.5,10833708,94.76,246.04,577.71,1971.49,59694.02,19658000,4.42,9918.9,8346.08,9957.98,1260.52,7575.07,3617.81,10331.91,2594.44,974.14,488.36,3658.14,11522.08,52.23,0.1,1,2.52,1.49,0,268.02,2.42,24.6
Malta,0.793,0.784,0.009,62.288,1454.04,3.75,3.35,560,442000,0.88,95.07,82.53,9.95,42.4,27612,29.37,4.01,49.78,8.1,99.53,439915,5.74,25377,246.96,194.48,1045.35,1891.21,19286.04,440000,6.91,0.09,1.11,2.57,59.64,854.82,461.96,899.63,627.19,0.1,0.01,0.05,217.45,0,4.49,1,19.43,11.32,0.2,168.71,8.83,51.1
Mauritius,0.031,0.03,0.001,3.096,622.96,1.92,3.38,2041,1272000,0.79,91.62,74.99,5.01,37.4,18852,15.49,7.13,50.54,3.6,40.6,516481,58.82,748132,159.28,194.16,830.61,1880.95,27765.55,1270000,5.88,2.51,3.14,52.7,389.76,3700.11,1941.41,2633.5,1125.89,1.82,0.17,0.65,754.81,0,3.4,1,10.95,5.88,0.5,224.64,22.02,43.9
Mexico,0.624,0.56,0.064,1.593,66.44,2.12,3.8,758,128933000,0.77,95.55,75.05,6.5,29.3,15803,10.32,3.42,50.21,6.5,80.01,103158834,20.17,26004442,162.64,187.88,841.95,1879.53,26181.89,127576000,6.55,1000.46,1207.64,11727.48,9754.31,176933.53,115425.73,116440.81,51575.45,189.56,46.96,559.86,48071.25,87.85,1.38,1,6.86,4.32,2.5,152.78,13.06,28.3
Moldova,1.485,1.45,0.035,7.595,123.65,2.54,1.26,450,4034000,0.7,100.24,71.9,10.52,37.6,5851,14.8,4.45,52.02,15.2,37.45,1510667,50.55,2039083,140.96,144.68,770.67,1657.69,31126.03,4043000,5.68,5.07,28.58,525.85,831.7,6932.15,6589.07,15719.48,6386.44,1.4,0.64,0.6,2786.9,86.98,5.8,2,10.86,6.96,0.2,408.5,5.72,50.5
