Country,Total Confirmed Cases/Population,Recovered/Population,Total Deaths/Population,total_tests/Population,Population Density (Square KM),No. of Doctors per thousands,Per capita CO₂ emissions (tonnes per capita),Average precipitation in depth (mm per year) (mm per year),Population ,HDI INDEX,LITERACY RATE,LIFE EXPENTANCY,total expendature on ealth (% of GDP),Median Age,GDP per capita (int.-$) ($),"Age dependency ratio, old (% of working-age population) (% of working-age population)",Unemployment Rate,"Population, female (% of total) (% of total)","Alcohol consumption (litres per capita) (liters of pure alcohol, projected estimates, 15+ years of age)",Urban population/Population,Urban population,Rural population/Population,Rural population,Animal protein (kilocalories per person per day),Plant protein (kilocalories per person per day),Fat (kilocalories per person per day),Carbohydrates (kilocalories per person per day),"DALYs (Disability-Adjusted Life Years) - All causes - Sex: Both - Age: Age-standardized (Rate) (DALYs per 100,000)",Healthcare Expenditure per capita (int.-$) (constant 2011 international $),World Happiness Report 2016 (Cantril Ladder (0=worst; 10=best)),Poor sanitation (deaths),No access to handwashing facility (deaths),Indoor air pollution (deaths),Secondhand smoke (deaths),High blood sugar (deaths),Obesity (deaths),High blood pressure (deaths),Smoking (deaths),Iron deficiency (deaths),Zinc deficiency (deaths),Vitamin-A deficiency (deaths),Air pollution (outdoor & indoor) (deaths),handwashing_facilities,hospital_beds_per_100k,Testing policy (OxBSG),aged_65_older,aged_70_older,extreme_poverty,cvd_death_rate,diabetes_prevalence,Smoker
Uganda,0.021,0.02,0,1.095,213.76,0.09,0.13,1180,45741000,0.78,74.81,63.37,7.42,16.4,1909,4.33,2.1,50.26,9.5,21.74,9942492,71.97,32920466,49.56,161.16,419.22,1500.06,46651.42,44270000,4.32,7570.4,7260.48,10122.57,1135.18,12586.98,4804.78,15359.86,5556.86,387.41,271.16,1999.83,13599.27,21.22,0.5,1,2.17,1.31,41.6,213.33,2.5,20.1
Ukraine,0.56,0.549,0.011,5.693,77.39,3,4.8,565,43734000,0.78,100.76,72.07,7.3,41.4,9694,24.19,9.45,53.77,8.6,70.98,31043784,31.53,13787375,172.6,181.88,833.49,1950.03,34975.04,43994000,4.66,41.27,181.32,3850.31,16950.19,107616.56,105697.54,262123.47,117039.19,17.58,2.7,2.36,50130.48,0,8.8,1,16.46,11.13,0.1,539.85,7.11,60.9
United Arab Emirates,1.041,1.036,0.004,107.894,112.44,1.56,24.66,78,9890000,0.78,93.99,77.97,3.84,34,70284,1.35,1.67,27.6,3.8,81.98,8107437,13.07,1292708,166.8,251.68,785.7,2075.82,30806.92,9771000,6.6,1.62,21.1,6.62,514.77,3919.19,5056.74,4835.14,2512.92,1.94,0.32,1.95,2071.68,0,1.2,3,1.14,0.53,0,317.84,17.26,38.6
United Kingdom,0.828,0.765,0.063,39.3,272.9,2.81,5.81,1220,67886000,0.78,93.99,81.32,9.32,40.8,39162,29.04,4.33,50.66,11.4,80.86,54892898,16.39,11129375,233.12,179.72,1245.78,1765.38,20120.9,67530000,7.23,6.2,252.58,348.13,5963.64,71546.13,56735.41,84232.31,92871.02,12.84,1.81,4.01,24793.87,0,2.54,1,18.52,12.53,0.2,122.14,4.28,44.7
United States,2.298,2.234,0.064,34.861,35.61,2.57,16.24,715,331003000,0.78,99.44,78.86,17.34,38.3,53015,23.47,4.36,50.5,9.8,80.75,267278643,17.66,58440535,279.12,159.28,1453.86,1789.74,24305.79,329064992,6.88,576.85,795.29,508.18,25924.94,420327.93,408831.45,454347.03,422011.25,150.59,4.2,27.94,107506.73,0,2.77,3,15.41,9.73,1.2,151.09,10.79,43.7
Uruguay,0.064,0.063,0.001,7.391,19.75,2.57,1.98,1300,3474000,0.78,99.44,77.91,8.78,35.6,19896,22.8,7.89,51.69,10.8,94.77,3292209,4.74,164541,216,153.76,954,1726.24,23941.71,3462000,6.37,6.82,28.78,74.31,555.73,4946.02,3574.06,5645.29,4735.87,2.35,0.33,2.3,1194.37,0,2.8,1,14.66,10.36,0.1,160.71,6.93,33.9
Uzbekistan,0.18,0.178,0.001,4.117,76.13,2.45,3.1,206,33469000,0.78,101,71.73,6.04,28.2,9726,6.62,7.18,50.15,2.7,48.92,16371730,47.85,16015470,116.76,216.96,658.98,1767.3,35452.49,32982000,6.21,120.1,296.51,4417.49,6097.33,50134.53,34342.2,67601.6,20932.38,61.56,65.06,203.03,19856.23,0,4,1,4.47,2.87,0,724.42,7.57,26
Venezuela,0.285,0.283,0.002,6.96,36.25,2.45,4.99,2044,28436000,0.78,96.4,72.06,5.46,29,13159,10.05,7.66,50.26,5.6,99.16,28198335,13.29,3778730,152.48,139.56,742.41,1596.55,27375.6,28516000,5.01,208.34,317.32,124.68,3030.78,26801.21,25387.32,37447.2,15928.76,56.01,17.35,111.32,9197.12,0,0.8,3,6.61,3.92,0,204.85,6.47,0
Vietnam,0.001,0.001,0,1.037,308.13,0.78,2.08,1821,97339000,0.78,95.51,75.4,7.27,32.6,6031,10.24,2.05,50.51,8.3,34.56,33642782,63.59,61898018,124.2,202.24,648.99,1769.57,26376.66,96462000,5.3,813.57,1730.77,21274.05,15423.43,98864.07,28583.37,128962.94,86358.1,38,24.39,137.59,50232.33,85.85,2.6,3,7.15,4.72,2,245.47,6,46.9
Yemen,0.007,0.005,0.002,0.034,53.51,0.31,0.67,167,29826000,0.78,70.96,66.13,5.84,20.3,2199,5.11,14.04,49.48,0.1,34.11,10174671,60.6,18075749,55.52,180.24,430.47,1556.77,44559.64,29162000,3.06,4011.29,3029.54,4700.4,3394.25,17125.88,13795.61,29585.03,12553.33,1009.47,479.32,2869.49,12378.58,49.54,0.7,0,2.92,1.58,18.8,495,5.35,36.8
Zambia,0.083,0.081,0.002,0.954,22.99,0.09,0.28,1020,18384000,0.78,86.12,63.89,5.19,17.7,2199,4.7,7.79,50.38,4.8,39.96,7346373,53.02,9747757,36.92,183.96,378.45,1330.67,51675.32,17861000,4.04,4718.9,4553.89,5452.03,835.8,7572.95,3337.77,7322.78,4353.52,179.51,183.94,1366.48,7105.76,13.94,2,1,2.48,1.54,57.5,234.5,3.94,27.8
